codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,mes_sin,mes_cos,km_log,km_por_mes,precio_log,sobre_stock,codigo_enc,marca_enc
01001-01032,2026,4,23.0,4,45.0,78738.5,HONDA,0.0,0.0,0.0,2026-04-01,15.0,1.0,33.5,51.0,27.333333333333332,14.97776129244065,19.916666666666668,14.129460947490788,0.8660254037844387,-0.4999999999999998,11.273900214464867,2.8184750536162166,3.828641396489095,0,31,3
01001-01032,2026,5,5.0,1,45.0,27066.0,HONDA,0.0,0.0,0.0,2026-05-01,23.0,44.0,21.5,43.0,14.333333333333334,9.018499505645794,17.166666666666668,15.315569420255565,0.49999999999999994,-0.8660254037844387,10.206070552676763,2.0412141105353525,3.828641396489095,0,31,3
01001-01037,2026,5,75.0,16,43.9125,102218.625,PLUSPART,1.0,0.0,0.0,2026-05-01,69.0,49.0,68.0,17.0,53.333333333333336,32.47049943153529,57.5,22.871379494905845,0.49999999999999994,-0.8660254037844387,11.53487896375753,2.3069757927515058,3.8047161524396373,1,36,19
01001-01501,2025,7,7.0,7,120.0,104542.85714285714,SIN MARCA,5.0,0.0,0.0,2025-07-01,7.0,10.0,2.0,1.0,8.333333333333334,2.309401076758502,6.833333333333333,3.4302575219167823,-0.4999999999999997,-0.8660254037844388,11.557361947921224,1.6510517068458892,4.795790545596741,1,39,1
01001-01501,2025,8,6.0,6,120.0,36527.0,SIN MARCA,5.0,0.0,0.0,2025-08-01,7.0,11.0,2.0,3.0,6.666666666666667,0.5773502691896231,7.5,2.5884358211089564,-0.8660254037844385,-0.5000000000000004,10.505834368769577,1.313229296096197,4.795790545596741,1,39,1
01001-01501,2025,9,6.0,6,120.0,92140.5,SIN MARCA,5.0,0.0,0.0,2025-09-01,6.0,7.0,4.0,4.0,6.333333333333333,0.5773502691896231,7.833333333333333,2.1369760566432805,-1.0,-1.8369701987210297e-16,11.431080717931957,1.2701200797702175,4.795790545596741,1,39,1
01001-01501,2025,10,1.0,1,120.0,59857.0,SIN MARCA,5.0,0.0,0.0,2025-10-01,6.0,7.0,10.0,2.0,4.333333333333333,2.886751345948128,6.333333333333333,3.204163957519444,-0.8660254037844386,0.5000000000000001,10.999730369555504,1.0999730369555505,4.795790545596741,1,39,1
01001-01501,2025,11,6.0,6,120.0,61551.66666666666,SIN MARCA,5.0,0.0,0.0,2025-11-01,1.0,6.0,11.0,4.0,4.333333333333333,2.886751345948128,5.5,2.258317958127243,-0.5000000000000004,0.8660254037844384,11.027648455883947,1.0025134959894497,4.795790545596741,1,39,1
01001-01501,2025,12,1.0,1,120.0,27085.0,SIN MARCA,5.0,0.0,0.0,2025-12-01,6.0,6.0,7.0,3.0,2.6666666666666665,2.8867513459481278,4.5,2.7386127875258306,-2.4492935982947064e-16,1.0,10.206772268215317,0.8505643556846098,4.795790545596741,1,39,1
01001-01501,2026,1,2.0,2,120.0,110967.0,SIN MARCA,5.0,0.0,0.0,2026-01-01,1.0,1.0,7.0,2.0,3.0,2.6457513110645894,3.6666666666666665,2.581988897471611,0.49999999999999994,0.8660254037844387,11.616997150443126,11.616997150443126,4.795790545596741,1,39,1
